Save for Later


134 seconds
Station information:
Name,Agent Number,Network Number,Latitude (dec.deg),Longitude (dec.deg),Height (m),Posn_Precision,Observing Authority
Auckland Aero,1962,C74082,-37.00813,174.78873,7,H,N/A
Note: Position precision types are: "W" = based on whole minutes, "T" = estimated to tenth minute,
"G" = derived from gridref , "E" = error cases derived from gridref,
"H" = based on GPS readings (NZGD49), "D" = by definition i.e. grid points.

Max_min: Daily
Station,Date(NZST),Tmax(C),Period(Hrs),Tmin(C),Period(Hrs),Tgmin(C),Period(Hrs),Tmean(C),RHmean(%),Period(Hrs),Freq
1962,19660101:0900,-,-,13.9,24,15.6,24,-,-,-,D
1962,19660102:0900,22.2,24,17.1,24,11.1,24,-,-,-,D
1962,19660103:0900,23.9,24,17.1,24,16.0,24,-,-,-,D
1962,19660104:0900,23.5,24,16.2,24,16.1,24,-,-,-,D
1962,19660105:0900,24.4,24,17.8,24,14.1,24,-,-,-,D
1962,19660106:0900,23.4,24,18.6,24,17.2,24,-,-,-,D
1962,19660107:0900,23.4,24,16.3,24,12.2,24,-,-,-,D
1962,19660108:0900,23.7,24,17.3,24,16.9,24,-,-,-,D
1962,19660109:0900,22.1,24,15.9,24,13.3,24,-,-,-,D
1962,19660110:0900,19.7,24,14.4,24,10.8,24,-,-,-,D
1962,19660111:0900,18.0,24,14.4,24,10.8,24,-,-,-,D
1962,19660112:0900,19.3,24,15.6,24,13.4,24,-,-,-,D
1962,19660113:0900,20.5,24,15.1,24,11.9,24,-,-,-,D
1962,19660114:0900,18.9,24,14.9,24,12.3,24,-,-,-,D
1962,19660115:0900,18.7,24,15.1,24,12.7,24,-,-,-,D
1962,19660116:0900,22.1,24,12.9,24,6.7,24,-,-,-,D
1962,19660117:0900,24.6,24,14.0,24,7.8,24,-,-,-,D
1962,19660118:0900,22.6,24,12.7,24,6.1,24,-,-,-,D
1962,19660119:0900,25.9,24,17.0,24,10.0,24,-,-,-,D
1962,19660120:0900,25.8,24,18.9,24,15.9,24,-,-,-,D
1962,19660121:0900,23.3,24,19.6,24,17.8,24,-,-,-,D
1962,19660122:0900,21.9,24,19.4,24,19.1,24,-,-,-,D
1962,19660123:0900,22.8,24,17.4,24,13.3,24,-,-,-,D
1962,19660124:0900,23.4,24,17.1,24,15.0,24,-,-,-,D
1962,19660125:0900,21.6,24,15.6,24,5.4,24,-,-,-,D
1962,19660126:0900,20.0,24,14.5,24,13.2,24,-,-,-,D
1962,19660127:0900,20.5,24,15.6,24,11.8,24,-,-,-,D
1962,19660128:0900,23.6,24,14.2,24,7.9,24,-,-,-,D
1962,19660129:0900,22.2,24,15.6,24,11.6,24,-,-,-,D
1962,19660130:0900,25.2,24,16.7,24,11.8,24,-,-,-,D
1962,19660131:0900,23.1,24,16.7,24,10.8,24,-,-,-,D
1962,19660201:0900,23.8,24,18.3,24,18.2,24,-,-,-,D
1962,19660202:0900,26.1,24,17.1,24,14.9,24,-,-,-,D
1962,19660203:0900,20.9,24,13.9,24,9.2,24,-,-,-,D
1962,19660204:0900,23.0,24,16.7,24,12.0,24,-,-,-,D
1962,19660205:0900,23.1,24,14.4,24,8.4,24,-,-,-,D
1962,19660206:0900,24.1,24,13.7,24,8.9,24,-,-,-,D
1962,19660207:0900,26.4,24,15.9,24,8.9,24,-,-,-,D
1962,19660208:0900,25.3,24,14.7,24,8.3,24,-,-,-,D
1962,19660209:0900,25.3,24,16.8,24,13.6,24,-,-,-,D
1962,19660210:0900,23.8,24,16.2,24,10.7,24,-,-,-,D
1962,19660211:0900,24.1,24,16.6,24,11.1,24,-,-,-,D
1962,19660212:0900,25.4,24,18.3,24,17.3,24,-,-,-,D
1962,19660213:0900,23.9,24,18.0,24,15.8,24,-,-,-,D
1962,19660214:0900,25.3,24,15.8,24,11.4,24,-,-,-,D
1962,19660215:0900,27.6,24,17.1,24,15.0,24,-,-,-,D
1962,19660216:0900,25.4,24,17.8,24,13.9,24,-,-,-,D
1962,19660217:0900,24.6,24,18.9,24,19.0,24,-,-,-,D
1962,19660218:0900,22.2,24,18.0,24,18.3,24,-,-,-,D
1962,19660219:0900,25.8,24,20.3,24,20.0,24,-,-,-,D
1962,19660220:0900,26.9,24,21.3,24,21.4,24,-,-,-,D
1962,19660221:0900,25.7,24,21.7,24,21.7,24,-,-,-,D
1962,19660222:0900,26.0,24,19.1,24,18.3,24,-,-,-,D
1962,19660223:0900,22.7,24,19.9,24,19.6,24,-,-,-,D
1962,19660224:0900,24.4,24,19.2,24,18.1,24,-,-,-,D
1962,19660225:0900,24.4,24,20.7,24,20.0,24,-,-,-,D
1962,19660226:0900,24.7,24,21.4,24,19.4,24,-,-,-,D
1962,19660227:0900,25.6,24,18.7,24,17.3,24,-,-,-,D
1962,19660228:0900,21.7,24,17.9,24,14.2,24,-,-,-,D
1962,19660301:0900,22.0,24,17.6,24,18.1,24,-,-,-,D
1962,19660302:0900,25.1,24,17.7,24,15.4,24,-,-,-,D
1962,19660303:0900,25.4,24,18.4,24,14.9,24,-,-,-,D
1962,19660304:0900,22.7,24,13.4,24,11.1,24,-,-,-,D
1962,19660305:0900,21.4,24,13.4,24,10.9,24,-,-,-,D
1962,19660306:0900,21.7,24,13.2,24,9.1,24,-,-,-,D
1962,19660307:0900,22.6,24,14.3,24,10.7,24,-,-,-,D
1962,19660308:0900,21.0,24,16.2,24,15.6,24,-,-,-,D
1962,19660309:0900,21.8,24,17.2,24,15.6,24,-,-,-,D
1962,19660310:0900,21.9,24,17.7,24,14.9,24,-,-,-,D
1962,19660311:0900,22.6,24,18.2,24,15.6,24,-,-,-,D
1962,19660312:0900,21.1,24,12.2,24,5.7,24,-,-,-,D
1962,19660313:0900,22.1,24,15.9,24,14.5,24,-,-,-,D
1962,19660314:0900,22.8,24,14.3,24,9.2,24,-,-,-,D
1962,19660315:0900,23.0,24,14.2,24,8.2,24,-,-,-,D
1962,19660316:0900,22.7,24,13.0,24,7.2,24,-,-,-,D
1962,19660317:0900,24.6,24,12.3,24,5.6,24,-,-,-,D
1962,19660318:0900,22.3,24,14.5,24,11.2,24,-,-,-,D
1962,19660319:0900,23.3,24,16.7,24,14.6,24,-,-,-,D
1962,19660320:0900,26.0,24,17.4,24,12.4,24,-,-,-,D
